sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Control)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Partitions (Valid)","Partitions (Positive)","Partitions (Negative)","Threshold","Volume per well [µl]","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","F8","PureHuman","Sample","16s 18s","16s","-","-","34.68","-","21.1%","-","-","8248","86","8162","40.16","2.572","-","-","-","-","-"
"","","","F8","PureHuman","Sample","16s 18s","18s","-","-","10709.0","-","3.7%","-","-","6540","6283","257","31.88","2.572","-","-","-","-","-"
"","","","F9","PureHuman","Sample","16s 18s","16s","-","-","32.05","-","21.9%","-","-","8264","80","8184","42.71","2.583","-","-","-","-","-"
"","","","F9","PureHuman","Sample","16s 18s","18s","-","-","5707.7","-","3.2%","-","-","5660","4659","1001","36.34","2.583","-","-","-","-","-"
"","","","F10","PureHuman","Sample","16s 18s","16s","-","-","22.32","-","26.2%","-","-","8253","56","8197","38.89","2.596","-","-","-","-","-"
"","","","F10","PureHuman","Sample","16s 18s","18s","-","-","4905.8","-","3.0%","-","-","6726","5220","1506","36.98","2.596","-","-","-","-","-"
"","","","F11","PureHuman","Sample","16s 18s","16s","-","-","26.56","-","23.9%","-","-","8270","67","8203","41.44","2.606","-","-","-","-","-"
"","","","F11","PureHuman","Sample","16s 18s","18s","-","-","3943.5","-","2.7%","-","-","8270","5798","2472","40.16","2.606","-","-","-","-","-"
"","","","F12","PureHuman","Sample","16s 18s","16s","-","-","26.73","-","23.6%","-","-","8261","69","8192","47.81","2.67","-","-","-","-","-"
"","","","F12","PureHuman","Sample","16s 18s","18s","-","-","3760.1","-","2.8%","-","-","7818","5415","2403","37.61","2.67","-","-","-","-","-"
"","","","G1","ntc","Non Template Control","16s 18s","16s","-","-","50.49","-","17.1%","-","-","8263","132","8131","40.16","2.714","-","-","-","-","-"
"","","","G1","ntc","Non Template Control","16s 18s","18s","-","-","10.27","-","37.7%","-","-","8261","27","8234","55.46","2.714","-","-","-","-","-"
"","","","G2","ntc","Non Template Control","16s 18s","16s","-","-","60.46","-","15.8%","-","-","8215","153","8062","41.44","2.646","-","-","-","-","-"
"","","","G2","ntc","Non Template Control","16s 18s","18s","-","-","13.32","-","33.6%","-","-","8224","34","8190","56.10","2.646","-","-","-","-","-"
